What is a plateau?	High land with a mostly flat top.	Geography
Which mountains lie in northern India?	The Himalayas.	Geography
What are the three large water bodies around India?	The Arabian Sea, Bay of Bengal, and Indian Ocean.	Geography
Where does a river’s journey begin?	At its source.	Geography
What was special about Indus cities?	They had planned streets, brick houses, wells, and drains.	History
What did Ashoka promote after the Kalinga war?	Peace, kindness, and Buddhism.	History
When did India become independent?	15 August 1947.	History
When did India become a republic?	26 January 1950.	History
What is democracy?	A system in which people choose their representatives.	Polity
What is the Constitution?	India’s main rulebook for government and citizens’ rights.	Polity
Which government works across one state?	The state government.	Polity
Who are citizens?	People who legally belong to a country.	Polity
What does “unity in diversity” mean?	We can be different and still belong together as one country.	Culture
Name three parts of culture.	Any three: language, food, music, clothing, art, or festivals.	Culture
What is India’s national bird?	The Indian peafowl, often called the peacock.	Culture
Why should we respect different traditions?	They enrich our shared country and help us learn from one another.	Culture
